IDENTIFIER: Reference ID,FORMULA,Microstructure,Processing method,grain size,Exp. Density,Calculated Density,HV,Type of test,Test temperature,YS,UTS,Elongation,Elongation plastic,Exp. Young modulus,Calculated Young modulus,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,B2,BCC,FCC,Sec.,HCP,L12,Laves,Other,ANNEAL,CAST,OTHER,POWDER,WROUGHT,C_test,T_test
165,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,,12.29,12.4,,C,1200,735,,,,,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Mo1 Nb1 Ta1 W1,BCC,OTHER,,13.6,13.7,,C,1200,506,,,,,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Mo1 Nb1 Ti1,BCC,OTHER,,7.67,7.7,,C,1200,324,,,,,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,,7.81,7.4,,C,1200,102,,,,,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Nb1 Ti1 Zr1,BCC,OTHER,,6.63,6.5,,C,1200,61,,,,,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Al1 Cr1 Mo1 Nb1 Ti1,BCC+Laves,ANNEAL,,6.56,6.6,,C,1200,105,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
165,Al0.24 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,,6.34,6.3,,C,1200,24,,,,,,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,B2+BCC,OTHER,,7.14,7.1,,C,1200,250,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Cr1 Nb0.333 Ti0.333 Zr0.333,BCC+Laves,OTHER,,6.56,6.8,,C,1200,32,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0.333,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Laves,OTHER,,7.98,8,,C,1200,170,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,,8.46,8.5,,C,1200,166,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.3,0,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,,8.16,8.2,,C,1200,188,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,,7.89,7.9,,C,1200,235,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0.7,0,0,1,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
165,Mo1 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,,7.27,7.1,,C,1200,116,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Nb1 Re0.3 Ti1 Zr1,BCC+Laves,OTHER,,7.81,7.5,,C,1200,89,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
165,Nb1 Ta1 Ti1 V1 Zr1,BCC+BCC,OTHER,,8.43,8.5,,C,1200,78,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
166,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,245.48,7.753,8,,T,25,293.1,625.6,63,,,220,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
